Designator ,Value,Footprint ,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,87.5,-118.8,90,top
C2,10uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,88.7,-124.8,90,top
C3,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,88.1,-126.7,180,top
C4,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,88.6,-118.8,90,top
C5,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,87.6,-124.8,90,top
C6,10uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,92.1,-115.6,0,top
C7,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,92.1,-114.5,0,top
C8,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,91.3975,-131.5325,0,top
C9,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,91.3975,-130.4325,0,top
C10,1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,94.4,-115.6,180,top
C11,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,93.7975,-130.4325,0,top
C12,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,96.0975,-130.4325,0,top
C13,14pF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,108.6,-126.7,180,top
C14,10uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,100.7,-116.2,0,top
C15,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,100.7,-115.1,0,top
C16,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,97.3,-115,90,top
C17,14pF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,108,-121.1,0,top
C18,10uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,103.1,-125.2,-90,top
C19,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,104.2,-125.2,-90,top
C20,10uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,87.7,-140,180,top
C21,10uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,90.2,-134.6,0,top
C22,10uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,90,-140,0,top
C23,10uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,83.1,-136.8,-90,top
C24,10uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,94.4,-136.3,-90,top
C25,10uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,85.9,-132.1,0,top
C26,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,83,-139.2,90,top
C27,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,94.6,-138.7,90,top
C28,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,85.9,-131,0,top
C29,10uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,80,-139.9,180,top
C30,10uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,78.3,-135.6,90,top
C31,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,77.1,-135.6,90,top
C32,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,102.9525,-147.5625,90,top
C33,10uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,93.4525,-151.3625,90,top
C34,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,92.2525,-151.3625,90,top
C35,1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,118,-113.4,180,top
Card1,TF-15×15,TF-SMD_TF-15-15,128.5,-145.55,0,top
D1,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,107,-153.3,0,top
D2,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,107,-151.7,0,top
F1,BSMD0805L-200,F0805,87.1,-141.8,0,top
L1,2.2uH,L0603,85,-138.7,180,top
L2,2.2uH,L0603,92.6,-138.2,0,top
L3,2.2uH,L0603,87.9,-133.7,90,top
